model,metric,attribute,attribute_long,n_responses,mean,sd,sum,n_nonzero
Claude,span_count,AUR,Assumption of User Accuracy,100,0.54,0.7709,54,39
Claude,span_count,TD,Tentativeness / Directness,100,3.22,4.4825,322,52
Claude,span_count,FIX,Fix-It Tendency,100,1.07,2.0561,107,36
Claude,span_count,RT,Recommendation Type,100,1.38,2.3345,138,41
Claude,span_count,TN,Topic Shift,100,1.21,2.2576,121,35
Claude,span_count,QOC,Open / Closed Questions,100,1.51,1.5731,151,72
Claude,span_count,LM,Language Matching,100,0.6,1.2553,60,26
Claude,span_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Claude,span_count,EMP,Empathy & Matching,100,2.66,3.4207,266,72
Claude,span_count,INC,Incoherence,100,0.01,0.1,1,1
Gemini,span_count,S,Sensitivity,100,0.16,0.5453,16,10
Gemini,span_count,AUR,Assumption of User Accuracy,100,0.42,0.741,42,31
Gemini,span_count,TD,Tentativeness / Directness,100,3.07,4.205,307,52
Gemini,span_count,FIX,Fix-It Tendency,100,1.35,2.6107,135,41
Gemini,span_count,RT,Recommendation Type,100,1.54,2.4055,154,44
Gemini,span_count,TN,Topic Shift,100,1.62,2.3646,162,43
Gemini,span_count,QOC,Open / Closed Questions,100,0.11,0.3994,11,8
Gemini,span_count,LM,Language Matching,100,0.54,1.1496,54,25
Gemini,span_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Gemini,span_count,EMP,Empathy & Matching,100,2.41,2.9236,241,68
Gemini,span_count,INC,Incoherence,100,0.06,0.2778,6,5
Qwen,token_count,S,Sensitivity,100,11.18,29.3255,1118,17
Qwen,token_count,AUR,Assumption of User Accuracy,100,14.4,24.319,1440,32
Qwen,token_count,TD,Tentativeness / Directness,100,74.44,106.375,7444,52
Qwen,token_count,FIX,Fix-It Tendency,100,35.52,62.187,3552,44
Qwen,token_count,RT,Recommendation Type,100,32.92,50.7172,3292,42
Qwen,token_count,TN,Topic Shift,100,40.92,60.9853,4092,43
Qwen,token_count,QOC,Open / Closed Questions,100,4.34,12.4082,434,14
Qwen,token_count,LM,Language Matching,100,19.05,43.6396,1905,28
Qwen,token_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Qwen,token_count,EMP,Empathy & Matching,100,69.49,82.6622,6949,70
Qwen,token_count,INC,Incoherence,100,0.96,5.354,96,8
Llama,token_count,S,Sensitivity,100,4.28,13.6737,428,12
Llama,token_count,AUR,Assumption of User Accuracy,100,5.9,14.5467,590,19
Llama,token_count,TD,Tentativeness / Directness,100,48.75,73.7078,4875,52
Llama,token_count,FIX,Fix-It Tendency,100,20.79,37.5315,2079,40
Llama,token_count,RT,Recommendation Type,100,51.38,56.5864,5138,61
Llama,token_count,TN,Topic Shift,100,16.64,32.7493,1664,27
Llama,token_count,QOC,Open / Closed Questions,100,2.6,9.9494,260,9
Llama,token_count,LM,Language Matching,100,7.48,18.2372,748,20
Llama,token_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Llama,token_count,EMP,Empathy & Matching,100,58.29,69.7169,5829,72
Llama,token_count,INC,Incoherence,100,0.08,0.5628,8,2
GPT,token_count,S,Sensitivity,100,5.53,15.6286,553,15
GPT,token_count,AUR,Assumption of User Accuracy,100,13.94,20.3886,1394,42
GPT,token_count,TD,Tentativeness / Directness,100,71.12,97.5096,7112,52
GPT,token_count,FIX,Fix-It Tendency,100,25.25,44.0893,2525,42
GPT,token_count,RT,Recommendation Type,100,46.59,56.5552,4659,58
GPT,token_count,TN,Topic Shift,100,32.5,54.8698,3250,40
GPT,token_count,QOC,Open / Closed Questions,100,4.53,11.4384,453,16
GPT,token_count,LM,Language Matching,100,11.18,28.5796,1118,24
GPT,token_count,ME,Minimal Encouragers,100,0.33,2.4332,33,3
GPT,token_count,EMP,Empathy & Matching,100,54.2,66.2281,5420,68
GPT,token_count,INC,Incoherence,100,0.0,0.0,0,0
Claude,token_count,S,Sensitivity,100,5.42,13.0393,542,18
Claude,token_count,AUR,Assumption of User Accuracy,100,10.34,16.0895,1034,39
Claude,token_count,TD,Tentativeness / Directness,100,48.75,66.9445,4875,52
Claude,token_count,FIX,Fix-It Tendency,100,14.36,28.516,1436,36
Claude,token_count,RT,Recommendation Type,100,20.49,33.4919,2049,41
Claude,token_count,TN,Topic Shift,100,17.97,31.6408,1797,35
Claude,token_count,QOC,Open / Closed Questions,100,22.46,20.5099,2246,72
Claude,token_count,LM,Language Matching,100,11.77,24.0823,1177,26
Claude,token_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Claude,token_count,EMP,Empathy & Matching,100,46.61,56.8073,4661,72
Claude,token_count,INC,Incoherence,100,0.09,0.9,9,1
Gemini,token_count,S,Sensitivity,100,4.62,17.0079,462,10
Gemini,token_count,AUR,Assumption of User Accuracy,100,10.75,18.6636,1075,31
Gemini,token_count,TD,Tentativeness / Directness,100,74.64,105.0834,7464,52
Gemini,token_count,FIX,Fix-It Tendency,100,35.77,71.9892,3577,41
Gemini,token_count,RT,Recommendation Type,100,40.89,63.6269,4089,44
Gemini,token_count,TN,Topic Shift,100,43.62,61.7963,4362,43
Gemini,token_count,QOC,Open / Closed Questions,100,2.62,9.5545,262,8
Gemini,token_count,LM,Language Matching,100,17.6,38.618,1760,25
Gemini,token_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Gemini,token_count,EMP,Empathy & Matching,100,63.74,79.9547,6374,68
Gemini,token_count,INC,Incoherence,100,0.91,6.1449,91,5
Qwen,word_count,S,Sensitivity,100,8.39,21.6426,839,17
Qwen,word_count,AUR,Assumption of User Accuracy,100,11.78,19.7702,1178,32
Qwen,word_count,TD,Tentativeness / Directness,100,59.86,84.8545,5986,52
Qwen,word_count,FIX,Fix-It Tendency,100,28.45,49.0682,2845,44
Qwen,word_count,RT,Recommendation Type,100,24.59,37.7806,2459,42
Qwen,word_count,TN,Topic Shift,100,32.43,47.4404,3243,43
Qwen,word_count,QOC,Open / Closed Questions,100,3.49,10.0318,349,14
Qwen,word_count,LM,Language Matching,100,15.18,34.9474,1518,28
Qwen,word_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Qwen,word_count,EMP,Empathy & Matching,100,58.09,67.7806,5809,70
Qwen,word_count,INC,Incoherence,100,0.68,4.0871,68,8
Llama,word_count,S,Sensitivity,100,3.4,10.434,340,12
Llama,word_count,AUR,Assumption of User Accuracy,100,4.85,12.1309,485,19
Llama,word_count,TD,Tentativeness / Directness,100,40.58,59.9995,4058,52
Llama,word_count,FIX,Fix-It Tendency,100,17.58,31.4438,1758,40
Llama,word_count,RT,Recommendation Type,100,41.89,44.2242,4189,61
Llama,word_count,TN,Topic Shift,100,13.55,26.4259,1355,27
Llama,word_count,QOC,Open / Closed Questions,100,2.24,8.6738,224,9
Llama,word_count,LM,Language Matching,100,6.17,14.769,617,20
Llama,word_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Llama,word_count,EMP,Empathy & Matching,100,48.53,58.2673,4853,72
Llama,word_count,INC,Incoherence,100,0.03,0.2227,3,2
GPT,word_count,S,Sensitivity,100,4.22,11.9549,422,15
GPT,word_count,AUR,Assumption of User Accuracy,100,10.83,16.0624,1083,42
GPT,word_count,TD,Tentativeness / Directness,100,56.22,76.8677,5622,52
GPT,word_count,FIX,Fix-It Tendency,100,20.31,35.0684,2031,42
GPT,word_count,RT,Recommendation Type,100,36.81,44.0467,3681,58
GPT,word_count,TN,Topic Shift,100,25.7,43.4173,2570,40
GPT,word_count,QOC,Open / Closed Questions,100,3.51,8.9324,351,16
GPT,word_count,LM,Language Matching,100,8.79,22.6828,879,24
GPT,word_count,ME,Minimal Encouragers,100,0.25,1.893,25,3
GPT,word_count,EMP,Empathy & Matching,100,42.94,52.1795,4294,68
GPT,word_count,INC,Incoherence,100,0.0,0.0,0,0
Claude,word_count,S,Sensitivity,100,4.38,10.5579,438,18
Claude,word_count,AUR,Assumption of User Accuracy,100,8.61,13.2382,861,39
Claude,word_count,TD,Tentativeness / Directness,100,40.79,55.7672,4079,52
Claude,word_count,FIX,Fix-It Tendency,100,11.99,23.9463,1199,36
Claude,word_count,RT,Recommendation Type,100,16.87,27.1998,1687,41
Claude,word_count,TN,Topic Shift,100,14.54,25.2304,1454,35
Claude,word_count,QOC,Open / Closed Questions,100,19.2,17.4541,1920,72
Claude,word_count,LM,Language Matching,100,9.66,19.993,966,26
Claude,word_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Claude,word_count,EMP,Empathy & Matching,100,39.31,48.6305,3931,72
Claude,word_count,INC,Incoherence,100,0.07,0.7,7,1
Gemini,word_count,S,Sensitivity,100,3.08,10.7353,308,10
Gemini,word_count,AUR,Assumption of User Accuracy,100,8.78,15.3489,878,31
Gemini,word_count,TD,Tentativeness / Directness,100,60.33,84.9467,6033,52
Gemini,word_count,FIX,Fix-It Tendency,100,28.54,56.4909,2854,41
Gemini,word_count,RT,Recommendation Type,100,30.95,48.2262,3095,44
Gemini,word_count,TN,Topic Shift,100,34.33,48.379,3433,43
Gemini,word_count,QOC,Open / Closed Questions,100,2.19,8.0525,219,8
Gemini,word_count,LM,Language Matching,100,13.83,30.0431,1383,25
Gemini,word_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Gemini,word_count,EMP,Empathy & Matching,100,52.3,64.3432,5230,68
Gemini,word_count,INC,Incoherence,100,0.68,4.6534,68,5
