model,metric,highlight,attribute,n_responses,mean,sd,sum
GPT,span_count,INC,INC,100,0.0,0.0,0
Claude,span_count,SEN,S,100,0.31,0.8002,31
Claude,span_count,AUR,AUR,100,0.54,0.7709,54
Claude,span_count,TEN,TD,100,0.75,1.7717,75
Claude,span_count,DIR,TD,100,2.47,3.7938,247
Claude,span_count,FIX,FIX,100,1.07,2.0561,107
Claude,span_count,RECT,RT,100,1.38,2.3345,138
Claude,span_count,TSH,TN,100,1.21,2.2576,121
Claude,span_count,QOP,QOC,100,0.86,1.0543,86
Claude,span_count,QCL,QOC,100,0.65,0.9361,65
Claude,span_count,LMT,LM,100,0.6,1.2553,60
Claude,span_count,MEN,ME,100,0.0,0.0,0
Claude,span_count,VIN,EMP,100,0.99,1.8229,99
Claude,span_count,NIN,EMP,100,0.19,0.5449,19
Claude,span_count,ASIN,EMP,100,0.03,0.1714,3
Claude,span_count,SIN,EMP,100,0.44,0.8799,44
Claude,span_count,VAC,EMP,100,0.45,0.8689,45
Claude,span_count,NAC,EMP,100,0.09,0.4044,9
Claude,span_count,ASAC,EMP,100,0.08,0.3387,8
Claude,span_count,SAC,EMP,100,0.39,1.1272,39
Claude,span_count,INC,INC,100,0.01,0.1,1
Gemini,span_count,SEN,S,100,0.16,0.5453,16
Gemini,span_count,AUR,AUR,100,0.42,0.741,42
Gemini,span_count,TEN,TD,100,0.49,1.0683,49
Gemini,span_count,DIR,TD,100,2.58,3.7931,258
Gemini,span_count,FIX,FIX,100,1.35,2.6107,135
Gemini,span_count,RECT,RT,100,1.54,2.4055,154
Gemini,span_count,TSH,TN,100,1.62,2.3646,162
Gemini,span_count,QOP,QOC,100,0.04,0.2429,4
Gemini,span_count,QCL,QOC,100,0.07,0.2932,7
Gemini,span_count,LMT,LM,100,0.54,1.1496,54
Gemini,span_count,MEN,ME,100,0.0,0.0,0
Gemini,span_count,VIN,EMP,100,0.93,1.5716,93
Gemini,span_count,NIN,EMP,100,0.24,0.6685,24
Gemini,span_count,ASIN,EMP,100,0.09,0.3786,9
Gemini,span_count,SIN,EMP,100,0.56,0.9355,56
Gemini,span_count,VAC,EMP,100,0.39,0.8275,39
Gemini,span_count,NAC,EMP,100,0.05,0.219,5
Gemini,span_count,ASAC,EMP,100,0.0,0.0,0
Gemini,span_count,SAC,EMP,100,0.15,0.8333,15
Gemini,span_count,INC,INC,100,0.06,0.2778,6
Qwen,token_count,SEN,S,100,11.18,29.3255,1118
Qwen,token_count,AUR,AUR,100,14.4,24.319,1440
Qwen,token_count,TEN,TD,100,14.35,34.3409,1435
Qwen,token_count,DIR,TD,100,60.09,89.9535,6009
Qwen,token_count,FIX,FIX,100,35.52,62.187,3552
Qwen,token_count,RECT,RT,100,32.92,50.7172,3292
Qwen,token_count,TSH,TN,100,40.92,60.9853,4092
Qwen,token_count,QOP,QOC,100,1.97,8.2185,197
Qwen,token_count,QCL,QOC,100,2.37,8.6954,237
Qwen,token_count,LMT,LM,100,19.05,43.6396,1905
Qwen,token_count,MEN,ME,100,0.0,0.0,0
Qwen,token_count,VIN,EMP,100,29.93,49.6813,2993
Qwen,token_count,NIN,EMP,100,6.4,15.4351,640
Qwen,token_count,ASIN,EMP,100,2.2,12.4365,220
Qwen,token_count,SIN,EMP,100,14.1,27.9724,1410
Qwen,token_count,VAC,EMP,100,8.57,18.7613,857
Qwen,token_count,NAC,EMP,100,1.2,5.9544,120
Qwen,token_count,ASAC,EMP,100,0.84,4.0644,84
Qwen,token_count,SAC,EMP,100,6.25,18.598,625
Qwen,token_count,INC,INC,100,0.96,5.354,96
Llama,token_count,SEN,S,100,4.28,13.6737,428
Llama,token_count,AUR,AUR,100,5.9,14.5467,590
Llama,token_count,TEN,TD,100,29.84,49.2946,2984
Llama,token_count,DIR,TD,100,18.91,34.0098,1891
Llama,token_count,FIX,FIX,100,20.79,37.5315,2079
Llama,token_count,RECT,RT,100,51.38,56.5864,5138
Llama,token_count,TSH,TN,100,16.64,32.7493,1664
Llama,token_count,QOP,QOC,100,1.62,6.9235,162
Llama,token_count,QCL,QOC,100,0.98,4.9257,98
Llama,token_count,LMT,LM,100,7.48,18.2372,748
Llama,token_count,MEN,ME,100,0.0,0.0,0
Llama,token_count,VIN,EMP,100,7.2,15.6773,720
Llama,token_count,NIN,EMP,100,2.38,8.2017,238
Llama,token_count,ASIN,EMP,100,1.14,5.9832,114
Llama,token_count,SIN,EMP,100,6.12,13.7681,612
Llama,token_count,VAC,EMP,100,14.64,26.9311,1464
Llama,token_count,NAC,EMP,100,7.38,14.0402,738
Llama,token_count,ASAC,EMP,100,3.39,9.7451,339
Llama,token_count,SAC,EMP,100,16.04,31.495,1604
Llama,token_count,INC,INC,100,0.08,0.5628,8
GPT,token_count,SEN,S,100,5.53,15.6286,553
GPT,token_count,AUR,AUR,100,13.94,20.3886,1394
GPT,token_count,TEN,TD,100,17.03,37.1232,1703
GPT,token_count,DIR,TD,100,54.09,83.2864,5409
GPT,token_count,FIX,FIX,100,25.25,44.0893,2525
GPT,token_count,RECT,RT,100,46.59,56.5552,4659
GPT,token_count,TSH,TN,100,32.5,54.8698,3250
GPT,token_count,QOP,QOC,100,1.42,5.9224,142
GPT,token_count,QCL,QOC,100,3.11,10.2316,311
GPT,token_count,LMT,LM,100,11.18,28.5796,1118
GPT,token_count,MEN,ME,100,0.33,2.4332,33
GPT,token_count,VIN,EMP,100,21.32,38.7415,2132
GPT,token_count,NIN,EMP,100,3.78,11.0806,378
GPT,token_count,ASIN,EMP,100,2.13,7.3135,213
GPT,token_count,SIN,EMP,100,10.59,19.408,1059
GPT,token_count,VAC,EMP,100,6.41,15.6793,641
GPT,token_count,NAC,EMP,100,2.35,7.7386,235
GPT,token_count,ASAC,EMP,100,3.93,12.3887,393
GPT,token_count,SAC,EMP,100,3.69,10.4656,369
GPT,token_count,INC,INC,100,0.0,0.0,0
Claude,token_count,SEN,S,100,5.42,13.0393,542
Claude,token_count,AUR,AUR,100,10.34,16.0895,1034
Claude,token_count,TEN,TD,100,11.87,28.5291,1187
Claude,token_count,DIR,TD,100,36.88,55.7491,3688
Claude,token_count,FIX,FIX,100,14.36,28.516,1436
Claude,token_count,RECT,RT,100,20.49,33.4919,2049
Claude,token_count,TSH,TN,100,17.97,31.6408,1797
Claude,token_count,QOP,QOC,100,11.61,13.7164,1161
Claude,token_count,QCL,QOC,100,10.85,16.1059,1085
Claude,token_count,LMT,LM,100,11.77,24.0823,1177
Claude,token_count,MEN,ME,100,0.0,0.0,0
Claude,token_count,VIN,EMP,100,18.54,33.4692,1854
Claude,token_count,NIN,EMP,100,3.52,10.8483,352
Claude,token_count,ASIN,EMP,100,0.45,2.6907,45
Claude,token_count,SIN,EMP,100,7.91,17.3526,791
Claude,token_count,VAC,EMP,100,7.82,16.3722,782
Claude,token_count,NAC,EMP,100,1.28,6.102,128
Claude,token_count,ASAC,EMP,100,1.38,6.0583,138
Claude,token_count,SAC,EMP,100,5.71,14.7561,571
Claude,token_count,INC,INC,100,0.09,0.9,9
Gemini,token_count,SEN,S,100,4.62,17.0079,462
Gemini,token_count,AUR,AUR,100,10.75,18.6636,1075
Gemini,token_count,TEN,TD,100,12.22,28.471,1222
Gemini,token_count,DIR,TD,100,62.42,93.1549,6242
Gemini,token_count,FIX,FIX,100,35.77,71.9892,3577
Gemini,token_count,RECT,RT,100,40.89,63.6269,4089
Gemini,token_count,TSH,TN,100,43.62,61.7963,4362
Gemini,token_count,QOP,QOC,100,0.85,5.3812,85
Gemini,token_count,QCL,QOC,100,1.77,7.2848,177
Gemini,token_count,LMT,LM,100,17.6,38.618,1760
Gemini,token_count,MEN,ME,100,0.0,0.0,0
Gemini,token_count,VIN,EMP,100,25.8,45.6973,2580
Gemini,token_count,NIN,EMP,100,6.43,16.9606,643
Gemini,token_count,ASIN,EMP,100,2.02,9.1893,202
Gemini,token_count,SIN,EMP,100,15.33,26.5056,1533
Gemini,token_count,VAC,EMP,100,8.83,21.3655,883
Gemini,token_count,NAC,EMP,100,1.7,7.7753,170
Gemini,token_count,ASAC,EMP,100,0.0,0.0,0
Gemini,token_count,SAC,EMP,100,3.63,17.649,363
Gemini,token_count,INC,INC,100,0.91,6.1449,91
Qwen,word_count,SEN,S,100,8.39,21.6426,839
Qwen,word_count,AUR,AUR,100,11.78,19.7702,1178
Qwen,word_count,TEN,TD,100,11.41,26.9313,1141
Qwen,word_count,DIR,TD,100,48.45,71.9897,4845
Qwen,word_count,FIX,FIX,100,28.45,49.0682,2845
Qwen,word_count,RECT,RT,100,24.59,37.7806,2459
Qwen,word_count,TSH,TN,100,32.43,47.4404,3243
Qwen,word_count,QOP,QOC,100,1.53,6.2498,153
Qwen,word_count,QCL,QOC,100,1.96,7.5034,196
Qwen,word_count,LMT,LM,100,15.18,34.9474,1518
Qwen,word_count,MEN,ME,100,0.0,0.0,0
Qwen,word_count,VIN,EMP,100,25.08,41.4138,2508
Qwen,word_count,NIN,EMP,100,5.05,12.1841,505
Qwen,word_count,ASIN,EMP,100,1.81,10.31,181
Qwen,word_count,SIN,EMP,100,11.74,22.5499,1174
Qwen,word_count,VAC,EMP,100,7.36,16.035,736
Qwen,word_count,NAC,EMP,100,1.05,5.2114,105
Qwen,word_count,ASAC,EMP,100,0.73,3.5813,73
Qwen,word_count,SAC,EMP,100,5.27,15.0694,527
Qwen,word_count,INC,INC,100,0.68,4.0871,68
Llama,word_count,SEN,S,100,3.4,10.434,340
Llama,word_count,AUR,AUR,100,4.85,12.1309,485
Llama,word_count,TEN,TD,100,25.08,40.5377,2508
Llama,word_count,DIR,TD,100,15.5,27.5595,1550
Llama,word_count,FIX,FIX,100,17.58,31.4438,1758
Llama,word_count,RECT,RT,100,41.89,44.2242,4189
Llama,word_count,TSH,TN,100,13.55,26.4259,1355
Llama,word_count,QOP,QOC,100,1.4,6.047,140
Llama,word_count,QCL,QOC,100,0.84,4.2253,84
Llama,word_count,LMT,LM,100,6.17,14.769,617
Llama,word_count,MEN,ME,100,0.0,0.0,0
Llama,word_count,VIN,EMP,100,5.93,13.0819,593
Llama,word_count,NIN,EMP,100,1.96,6.8282,196
Llama,word_count,ASIN,EMP,100,0.97,5.1746,97
Llama,word_count,SIN,EMP,100,5.09,11.6064,509
Llama,word_count,VAC,EMP,100,12.27,22.3547,1227
Llama,word_count,NAC,EMP,100,6.0,11.3092,600
Llama,word_count,ASAC,EMP,100,2.91,8.4352,291
Llama,word_count,SAC,EMP,100,13.4,26.1345,1340
Llama,word_count,INC,INC,100,0.03,0.2227,3
GPT,word_count,SEN,S,100,4.22,11.9549,422
GPT,word_count,AUR,AUR,100,10.83,16.0624,1083
GPT,word_count,TEN,TD,100,13.85,30.021,1385
GPT,word_count,DIR,TD,100,42.37,65.109,4237
GPT,word_count,FIX,FIX,100,20.31,35.0684,2031
GPT,word_count,RECT,RT,100,36.81,44.0467,3681
GPT,word_count,TSH,TN,100,25.7,43.4173,2570
GPT,word_count,QOP,QOC,100,1.09,4.6059,109
GPT,word_count,QCL,QOC,100,2.42,7.9939,242
GPT,word_count,LMT,LM,100,8.79,22.6828,879
GPT,word_count,MEN,ME,100,0.25,1.893,25
GPT,word_count,VIN,EMP,100,16.71,30.3832,1671
GPT,word_count,NIN,EMP,100,3.06,9.1318,306
GPT,word_count,ASIN,EMP,100,1.8,6.1906,180
GPT,word_count,SIN,EMP,100,8.24,15.087,824
GPT,word_count,VAC,EMP,100,5.12,12.6693,512
GPT,word_count,NAC,EMP,100,1.88,6.2608,188
GPT,word_count,ASAC,EMP,100,3.18,10.0337,318
GPT,word_count,SAC,EMP,100,2.95,8.2344,295
GPT,word_count,INC,INC,100,0.0,0.0,0
Claude,word_count,SEN,S,100,4.38,10.5579,438
Claude,word_count,AUR,AUR,100,8.61,13.2382,861
Claude,word_count,TEN,TD,100,10.07,24.1097,1007
Claude,word_count,DIR,TD,100,30.72,46.4497,3072
Claude,word_count,FIX,FIX,100,11.99,23.9463,1199
Claude,word_count,RECT,RT,100,16.87,27.1998,1687
Claude,word_count,TSH,TN,100,14.54,25.2304,1454
Claude,word_count,QOP,QOC,100,9.74,11.3134,974
Claude,word_count,QCL,QOC,100,9.46,14.1024,946
Claude,word_count,LMT,LM,100,9.66,19.993,966
Claude,word_count,MEN,ME,100,0.0,0.0,0
Claude,word_count,VIN,EMP,100,15.39,28.0342,1539
Claude,word_count,NIN,EMP,100,2.95,9.0223,295
Claude,word_count,ASIN,EMP,100,0.41,2.4292,41
Claude,word_count,SIN,EMP,100,6.72,15.2124,672
Claude,word_count,VAC,EMP,100,6.76,14.0462,676
Claude,word_count,NAC,EMP,100,1.06,5.1832,106
Claude,word_count,ASAC,EMP,100,1.2,5.2896,120
Claude,word_count,SAC,EMP,100,4.82,12.5918,482
Claude,word_count,INC,INC,100,0.07,0.7,7
Gemini,word_count,SEN,S,100,3.08,10.7353,308
Gemini,word_count,AUR,AUR,100,8.78,15.3489,878
Gemini,word_count,TEN,TD,100,10.1,23.6278,1010
Gemini,word_count,DIR,TD,100,50.23,75.0429,5023
Gemini,word_count,FIX,FIX,100,28.54,56.4909,2854
Gemini,word_count,RECT,RT,100,30.95,48.2262,3095
Gemini,word_count,TSH,TN,100,34.33,48.379,3433
Gemini,word_count,QOP,QOC,100,0.67,4.2356,67
Gemini,word_count,QCL,QOC,100,1.52,6.3429,152
Gemini,word_count,LMT,LM,100,13.83,30.0431,1383
Gemini,word_count,MEN,ME,100,0.0,0.0,0
Gemini,word_count,VIN,EMP,100,21.17,36.8036,2117
Gemini,word_count,NIN,EMP,100,5.2,13.6715,520
Gemini,word_count,ASIN,EMP,100,1.6,7.2988,160
Gemini,word_count,SIN,EMP,100,12.77,22.0077,1277
Gemini,word_count,VAC,EMP,100,7.43,17.7071,743
Gemini,word_count,NAC,EMP,100,1.31,5.9437,131
Gemini,word_count,ASAC,EMP,100,0.0,0.0,0
Gemini,word_count,SAC,EMP,100,2.82,13.3162,282
Gemini,word_count,INC,INC,100,0.68,4.6534,68
