dataset,reviewer,prompt_id,model,n_SEN,tok_SEN,word_SEN,n_AUR,tok_AUR,word_AUR,n_TEN,tok_TEN,word_TEN,n_DIR,tok_DIR,word_DIR,n_FIX,tok_FIX,word_FIX,n_RECT,tok_RECT,word_RECT,n_TSH,tok_TSH,word_TSH,n_QOP,tok_QOP,word_QOP,n_QCL,tok_QCL,word_QCL,n_LMT,tok_LMT,word_LMT,n_MEN,tok_MEN,word_MEN,n_VIN,tok_VIN,word_VIN,n_NIN,tok_NIN,word_NIN,n_ASIN,tok_ASIN,word_ASIN,n_SIN,tok_SIN,word_SIN,n_VAC,tok_VAC,word_VAC,n_NAC,tok_NAC,word_NAC,n_ASAC,tok_ASAC,word_ASAC,n_SAC,tok_SAC,word_SAC,n_INC,tok_INC,word_INC
PAIR,R4,28,Qwen,0,0,0,2,46,38,4,126,98,11,225,188,0,0,0,0,0,0,5,124,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R4,29,Qwen,0,0,0,1,21,16,3,127,105,1,36,30,1,31,28,0,0,0,6,225,179,0,0,0,0,0,0,1,35,32,0,0,0,2,56,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,28,1,23,21,1,3,1
PAIR,R4,30,Qwen,0,0,0,3,64,54,2,56,45,1,23,18,1,31,28,3,95,80,3,78,64,1,25,17,0,0,0,0,0,0,0,0,0,2,42,35,0,0,0,0,0,0,1,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R4,31,Qwen,0,0,0,2,73,58,4,85,69,2,67,56,1,21,19,5,136,102,7,187,142,1,28,26,0,0,0,0,0,0,0,0,0,2,38,30,2,42,35,1,21,19,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R4,32,Qwen,0,0,0,1,45,34,1,18,13,7,167,133,2,49,40,4,105,78,7,205,156,0,0,0,0,0,0,0,0,0,0,0,0,1,23,21,0,0,0,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
PAIR,R4,33,Qwen,0,0,0,2,44,41,0,0,0,9,227,174,1,32,27,3,57,41,3,68,59,0,0,0,0,0,0,0,0,0,0,0,0,1,31,29,0,0,0,0,0,0,1,18,17,0,0,0,0,0,0,0,0,0,1,13,12,1,4,2
PAIR,R4,34,Qwen,0,0,0,4,88,68,3,87,66,5,119,95,1,34,24,0,0,0,9,262,198,0,0,0,0,0,0,0,0,0,0,0,0,2,43,36,2,55,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,19,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,39,0,0,0
PAIR,R2,20,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,32,0,0,0,1,44,38,0,0,0,0,0,0,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,21,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,29,2,45,33,0,0,0,1,22,14,0,0,0,0,0,0,1,22,20,1,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,22,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,67,0,0,0,0,0,0,0,0,0,1,26,19,0,0,0,1,25,22,1,38,27,0,0,0,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,23,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,30,0,0,0,0,0,0,0,0,0
PAIR,R2,24,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,25,0,0,0,0,0,0,1,20,19,1,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,39,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,25,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,99,73,0,0,0,0,0,0,0,0,0,1,32,23,0,0,0,2,46,38,0,0,0,0,0,0,0,0,0,1,34,27,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R2,26,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,11,Qwen,0,0,0,0,0,0,0,0,0,1,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,12,Qwen,0,0,0,0,0,0,0,0,0,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,13,Qwen,0,0,0,0,0,0,0,0,0,1,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,14,Qwen,0,0,0,0,0,0,0,0,0,1,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,15,Qwen,0,0,0,0,0,0,0,0,0,1,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,16,Qwen,0,0,0,0,0,0,0,0,0,1,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,17,Qwen,0,0,0,0,0,0,0,0,0,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R5,18,Qwen,0,0,0,0,0,0,1,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,3,Qwen,2,107,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,4,Qwen,0,0,0,1,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,5,Qwen,0,0,0,1,48,36,0,0,0,0,0,0,0,0,0,1,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,6,Qwen,0,0,0,3,107,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,19,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,7,Qwen,0,0,0,1,26,20,0,0,0,0,0,0,0,0,0,1,44,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,8,Qwen,0,0,0,2,40,29,0,0,0,0,0,0,0,0,0,2,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,23,0,0,0,0,0,0,0,0,0
PAIR,R6,9,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R6,10,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,43,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,1,52,42,0,0,0,3,94,76,1,26,21,1,15,11,1,30,28,0,0,0,0,0,0,0,0,0,0,0,0,1,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,44,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,45,Qwen,1,25,21,0,0,0,0,0,0,0,0,0,2,36,30,1,23,20,0,0,0,0,0,0,1,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,46,Qwen,1,32,23,0,0,0,0,0,0,0,0,0,1,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,47,Qwen,0,0,0,1,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,48,Qwen,1,44,37,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,49,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R1,50,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,46,0,0,0,2,43,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R3,35,Qwen,0,0,0,0,0,0,1,28,25,4,123,104,3,90,75,2,58,52,1,56,47,1,21,18,0,0,0,0,0,0,0,0,0,4,131,112,0,0,0,0,0,0,0,0,0,2,21,17,0,0,0,0,0,0,1,37,34,0,0,0
PAIR,R3,36,Qwen,0,0,0,0,0,0,4,95,75,8,177,145,11,258,196,1,18,11,4,110,81,1,18,11,2,34,30,2,36,28,0,0,0,2,37,34,1,20,18,1,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R3,37,Qwen,0,0,0,0,0,0,1,16,13,4,161,134,5,152,124,1,16,13,1,35,33,0,0,0,0,0,0,7,248,208,0,0,0,3,121,102,0,0,0,0,0,0,2,78,64,5,112,95,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R3,38,Qwen,4,129,86,0,0,0,1,18,15,5,158,120,4,80,65,1,25,20,2,60,48,0,0,0,0,0,0,2,59,51,0,0,0,3,75,65,0,0,0,0,0,0,0,0,0,1,17,16,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R3,39,Qwen,0,0,0,0,0,0,3,45,41,10,216,177,8,179,156,0,0,0,2,68,59,0,0,0,0,0,0,3,92,79,0,0,0,8,164,141,0,0,0,0,0,0,1,42,34,1,33,28,0,0,0,1,8,7,0,0,0,0,0,0
