model,attribute_a,attribute_b,rho
Qwen,TN,EMP,0.689921880197435
Qwen,QOC,S,-0.11608843185597528
Qwen,QOC,AUR,-0.009720004674466376
Qwen,QOC,TD,-0.013092799659826607
Qwen,QOC,FIX,0.1767345945138397
Qwen,QOC,RT,0.15625886842544984
Qwen,QOC,TN,0.1823112486999529
Qwen,QOC,QOC,1.0
Qwen,QOC,LM,0.048461452355572136
Qwen,QOC,ME,
Qwen,QOC,EMP,0.16173029012038226
Qwen,LM,S,-0.028230298960024672
Qwen,LM,AUR,-0.19002135829053515
Qwen,LM,TD,0.23338691376943912
Qwen,LM,FIX,0.404453311645357
Qwen,LM,RT,0.07389268030017736
Qwen,LM,TN,0.21461936134310383
Qwen,LM,QOC,0.048461452355572136
Qwen,LM,LM,1.0
Qwen,LM,ME,
Qwen,LM,EMP,0.5212584504860562
Qwen,ME,S,
Qwen,ME,AUR,
Qwen,ME,TD,
Qwen,ME,FIX,
Qwen,ME,RT,
Qwen,ME,TN,
Qwen,ME,QOC,
Qwen,ME,LM,
Qwen,ME,ME,
Qwen,ME,EMP,
Qwen,EMP,S,-0.19367572320789164
Qwen,EMP,AUR,0.17452523937994568
Qwen,EMP,TD,0.5455300712017009
Qwen,EMP,FIX,0.7786907784758804
Qwen,EMP,RT,0.4036858105260384
Qwen,EMP,TN,0.689921880197435
Qwen,EMP,QOC,0.16173029012038226
Qwen,EMP,LM,0.5212584504860562
Qwen,EMP,ME,
Qwen,EMP,EMP,1.0
Llama,S,S,1.0
Llama,S,AUR,-0.024307619655882382
Llama,S,TD,-0.11760509659987557
Llama,S,FIX,-0.07678624219966854
Llama,S,RT,-0.1474875938180424
Llama,S,TN,-0.027680644287531926
Llama,S,QOC,-0.11577445055134594
Llama,S,LM,0.011551628661789383
Llama,S,ME,
Llama,S,EMP,-0.1784478455899141
Llama,AUR,S,-0.024307619655882382
Llama,AUR,AUR,1.0
Llama,AUR,TD,0.429333512769201
Llama,AUR,FIX,0.32399244436793995
Llama,AUR,RT,0.33374778286363177
Llama,AUR,TN,0.709101032673517
Llama,AUR,QOC,0.20779490110844384
Llama,AUR,LM,0.04287054100747364
Llama,AUR,ME,
Llama,AUR,EMP,0.36570385750816436
Llama,TD,S,-0.11760509659987557
Llama,TD,AUR,0.429333512769201
Llama,TD,TD,1.0
Llama,TD,FIX,0.7705555640525131
Llama,TD,RT,0.48331388809164855
Llama,TD,TN,0.6185952213206465
Llama,TD,QOC,0.1559812410162977
Llama,TD,LM,0.3907538831821996
Llama,TD,ME,
Llama,TD,EMP,0.46871538196871465
Llama,FIX,S,-0.07678624219966854
Llama,FIX,AUR,0.32399244436793995
Llama,FIX,TD,0.7705555640525131
Llama,FIX,FIX,1.0
Llama,FIX,RT,0.5486059749882176
Llama,FIX,TN,0.5852952917028152
Llama,FIX,QOC,0.15375205994769944
Llama,FIX,LM,0.5165878958072412
Llama,FIX,ME,
Llama,FIX,EMP,0.6622519377762169
Llama,RT,S,-0.1474875938180424
Llama,RT,AUR,0.33374778286363177
Llama,RT,TD,0.48331388809164855
Llama,RT,FIX,0.5486059749882176
Llama,RT,RT,1.0
Llama,RT,TN,0.401668158303962
Llama,RT,QOC,0.11624331918888395
Llama,RT,LM,0.25900075735778283
Llama,RT,ME,
Llama,RT,EMP,0.6608060800286154
Llama,TN,S,-0.027680644287531926
Llama,TN,AUR,0.709101032673517
Llama,TN,TD,0.6185952213206465
Llama,TN,FIX,0.5852952917028152
Llama,TN,RT,0.401668158303962
Llama,TN,TN,1.0
Llama,TN,QOC,0.23810689978306723
Llama,TN,LM,0.1874965798263118
Llama,TN,ME,
Llama,TN,EMP,0.48628225567211736
Llama,QOC,S,-0.11577445055134594
Llama,QOC,AUR,0.20779490110844384
Llama,QOC,TD,0.1559812410162977
Llama,QOC,FIX,0.15375205994769944
Llama,QOC,RT,0.11624331918888395
Llama,QOC,TN,0.23810689978306723
Llama,QOC,QOC,1.0
Llama,QOC,LM,0.006658202723644348
Llama,QOC,ME,
Llama,QOC,EMP,0.230422560576358
Llama,LM,S,0.011551628661789383
Llama,LM,AUR,0.04287054100747364
Llama,LM,TD,0.3907538831821996
Llama,LM,FIX,0.5165878958072412
Llama,LM,RT,0.25900075735778283
Llama,LM,TN,0.1874965798263118
Llama,LM,QOC,0.006658202723644348
Llama,LM,LM,1.0
Llama,LM,ME,
Llama,LM,EMP,0.543170000066571
Llama,ME,S,
Llama,ME,AUR,
Llama,ME,TD,
Llama,ME,FIX,
Llama,ME,RT,
Llama,ME,TN,
Llama,ME,QOC,
Llama,ME,LM,
Llama,ME,ME,
Llama,ME,EMP,
Llama,EMP,S,-0.1784478455899141
Llama,EMP,AUR,0.36570385750816436
Llama,EMP,TD,0.46871538196871465
Llama,EMP,FIX,0.6622519377762169
Llama,EMP,RT,0.6608060800286154
Llama,EMP,TN,0.48628225567211736
Llama,EMP,QOC,0.230422560576358
Llama,EMP,LM,0.543170000066571
Llama,EMP,ME,
Llama,EMP,EMP,1.0
GPT,S,S,1.0
GPT,S,AUR,-0.021504700366015757
GPT,S,TD,-0.043210610184154466
GPT,S,FIX,0.024211751279755916
GPT,S,RT,-0.08442541010412166
GPT,S,TN,0.016300510991799973
GPT,S,QOC,0.05089260261219882
GPT,S,LM,-0.02747822269408936
GPT,S,ME,-0.07365520997206268
GPT,S,EMP,-0.040431943668295105
GPT,AUR,S,-0.021504700366015757
GPT,AUR,AUR,1.0
GPT,AUR,TD,0.019656770275803828
GPT,AUR,FIX,0.12025535479816296
GPT,AUR,RT,0.18045584629676523
GPT,AUR,TN,0.2571998909445501
GPT,AUR,QOC,-0.21869546762388295
GPT,AUR,LM,-0.0735085695856064
GPT,AUR,ME,-0.14486353956350215
GPT,AUR,EMP,0.11628578576353976
GPT,TD,S,-0.043210610184154466
GPT,TD,AUR,0.019656770275803828
GPT,TD,TD,1.0
GPT,TD,FIX,0.7701660327528483
GPT,TD,RT,0.49139202854024217
GPT,TD,TN,0.6172423870043167
GPT,TD,QOC,-0.1319818584088888
GPT,TD,LM,0.26970085670009813
GPT,TD,ME,0.06477737408673359
GPT,TD,EMP,0.4143160191746493
GPT,FIX,S,0.024211751279755916
GPT,FIX,AUR,0.12025535479816296
GPT,FIX,TD,0.7701660327528483
GPT,FIX,FIX,1.0
GPT,FIX,RT,0.5371850539512691
GPT,FIX,TN,0.6976648939670976
GPT,FIX,QOC,0.004519852427673481
GPT,FIX,LM,0.5114732606069198
GPT,FIX,ME,0.12523147006301263
GPT,FIX,EMP,0.7042430109137869
GPT,RT,S,-0.08442541010412166
GPT,RT,AUR,0.18045584629676523
GPT,RT,TD,0.49139202854024217
GPT,RT,FIX,0.5371850539512691
GPT,RT,RT,1.0
GPT,RT,TN,0.5468420014815162
GPT,RT,QOC,0.05313221868417592
GPT,RT,LM,0.26690110563514535
GPT,RT,ME,-0.02116558833236812
GPT,RT,EMP,0.5150399828141161
GPT,TN,S,0.016300510991799973
GPT,TN,AUR,0.2571998909445501
GPT,TN,TD,0.6172423870043167
GPT,TN,FIX,0.6976648939670976
GPT,TN,RT,0.5468420014815162
GPT,TN,TN,1.0
GPT,TN,QOC,0.02659466837470744
GPT,TN,LM,0.29061790399621296
GPT,TN,ME,0.05862847709375589
GPT,TN,EMP,0.6808085636981309
GPT,QOC,S,0.05089260261219882
GPT,QOC,AUR,-0.21869546762388295
GPT,QOC,TD,-0.1319818584088888
GPT,QOC,FIX,0.004519852427673481
GPT,QOC,RT,0.05313221868417592
GPT,QOC,TN,0.02659466837470744
GPT,QOC,QOC,1.0
GPT,QOC,LM,0.14497213353674132
GPT,QOC,ME,-0.07650290833127209
GPT,QOC,EMP,0.2621743546596358
GPT,LM,S,-0.02747822269408936
GPT,LM,AUR,-0.0735085695856064
GPT,LM,TD,0.26970085670009813
GPT,LM,FIX,0.5114732606069198
GPT,LM,RT,0.26690110563514535
GPT,LM,TN,0.29061790399621296
GPT,LM,QOC,0.14497213353674132
GPT,LM,LM,1.0
GPT,LM,ME,0.14677454835980203
GPT,LM,EMP,0.551759440293928
GPT,ME,S,-0.07365520997206268
GPT,ME,AUR,-0.14486353956350215
GPT,ME,TD,0.06477737408673359
GPT,ME,FIX,0.12523147006301263
GPT,ME,RT,-0.02116558833236812
GPT,ME,TN,0.05862847709375589
GPT,ME,QOC,-0.07650290833127209
GPT,ME,LM,0.14677454835980203
GPT,ME,ME,1.0
GPT,ME,EMP,0.11107861404303387
GPT,EMP,S,-0.040431943668295105
GPT,EMP,AUR,0.11628578576353976
GPT,EMP,TD,0.4143160191746493
GPT,EMP,FIX,0.7042430109137869
GPT,EMP,RT,0.5150399828141161
GPT,EMP,TN,0.6808085636981309
GPT,EMP,QOC,0.2621743546596358
GPT,EMP,LM,0.551759440293928
GPT,EMP,ME,0.11107861404303387
GPT,EMP,EMP,1.0
Claude,S,S,1.0
Claude,S,AUR,0.060768930018114
Claude,S,TD,-0.08103726740628585
Claude,S,FIX,-0.04552513027934377
Claude,S,RT,-0.08629297805884892
Claude,S,TN,-0.1315305349094572
Claude,S,QOC,-0.15446953990441217
Claude,S,LM,0.11342273475907816
Claude,S,ME,
Claude,S,EMP,-0.05233535324413462
Claude,AUR,S,0.060768930018114
Claude,AUR,AUR,1.0
Claude,AUR,TD,0.1881198825790613
Claude,AUR,FIX,0.08934063589216391
Claude,AUR,RT,0.18653413352513656
Claude,AUR,TN,0.4761873999639271
Claude,AUR,QOC,0.17350094638488184
Claude,AUR,LM,-0.10472774934251243
Claude,AUR,ME,
Claude,AUR,EMP,0.21096466757855933
Claude,TD,S,-0.08103726740628585
Claude,TD,AUR,0.1881198825790613
Claude,TD,TD,1.0
Claude,TD,FIX,0.7579141945496508
Claude,TD,RT,0.2991768212092826
Claude,TD,TN,0.6301166043973138
Claude,TD,QOC,-0.09589417602323008
Claude,TD,LM,0.22852824838308636
Claude,TD,ME,
Claude,TD,EMP,0.4883671311034991
Claude,FIX,S,-0.04552513027934377
Claude,FIX,AUR,0.08934063589216391
Claude,FIX,TD,0.7579141945496508
Claude,FIX,FIX,1.0
Claude,FIX,RT,0.42368008440421523
Claude,FIX,TN,0.5727574258738373
Claude,FIX,QOC,0.16252023591041148
Claude,FIX,LM,0.3716982549704396
Claude,FIX,ME,
Claude,FIX,EMP,0.678823282051776
Claude,RT,S,-0.08629297805884892
Claude,RT,AUR,0.18653413352513656
Claude,RT,TD,0.2991768212092826
Claude,RT,FIX,0.42368008440421523
Claude,RT,RT,1.0
Claude,RT,TN,0.4376324890675904
Claude,RT,QOC,0.12345517367407723
Claude,RT,LM,-0.03337998015475111
Claude,RT,ME,
Claude,RT,EMP,0.33986001008720806
Claude,TN,S,-0.1315305349094572
Claude,TN,AUR,0.4761873999639271
Claude,TN,TD,0.6301166043973138
Claude,TN,FIX,0.5727574258738373
Claude,TN,RT,0.4376324890675904
Claude,TN,TN,1.0
Claude,TN,QOC,0.20516697805903938
Claude,TN,LM,0.07700865458794245
Claude,TN,ME,
Claude,TN,EMP,0.5538807159569938
Claude,QOC,S,-0.15446953990441217
Claude,QOC,AUR,0.17350094638488184
Claude,QOC,TD,-0.09589417602323008
Claude,QOC,FIX,0.16252023591041148
Claude,QOC,RT,0.12345517367407723
Claude,QOC,TN,0.20516697805903938
Claude,QOC,QOC,1.0
Claude,QOC,LM,0.37527682821661845
Claude,QOC,ME,
Claude,QOC,EMP,0.5275488448513752
Claude,LM,S,0.11342273475907816
Claude,LM,AUR,-0.10472774934251243
Claude,LM,TD,0.22852824838308636
Claude,LM,FIX,0.3716982549704396
Claude,LM,RT,-0.03337998015475111
Claude,LM,TN,0.07700865458794245
Claude,LM,QOC,0.37527682821661845
Claude,LM,LM,1.0
Claude,LM,ME,
Claude,LM,EMP,0.5435818721075585
Claude,ME,S,
Claude,ME,AUR,
Claude,ME,TD,
Claude,ME,FIX,
Claude,ME,RT,
Claude,ME,TN,
Claude,ME,QOC,
Claude,ME,LM,
Claude,ME,ME,
Claude,ME,EMP,
Claude,EMP,S,-0.05233535324413462
Claude,EMP,AUR,0.21096466757855933
Claude,EMP,TD,0.4883671311034991
Claude,EMP,FIX,0.678823282051776
Claude,EMP,RT,0.33986001008720806
Claude,EMP,TN,0.5538807159569938
Claude,EMP,QOC,0.5275488448513752
Claude,EMP,LM,0.5435818721075585
Claude,EMP,ME,
Claude,EMP,EMP,1.0
Gemini,S,S,1.0
Gemini,S,AUR,-0.1328816959747725
Gemini,S,TD,0.032071683950829336
Gemini,S,FIX,0.10148443781144606
Gemini,S,RT,-0.01692189831897607
Gemini,S,TN,0.04161674708123767
Gemini,S,QOC,-0.09807521808635754
Gemini,S,LM,0.13468107739681418
Gemini,S,ME,
Gemini,S,EMP,0.07881167087781255
Gemini,AUR,S,-0.1328816959747725
Gemini,AUR,AUR,1.0
Gemini,AUR,TD,0.0900826673650247
Gemini,AUR,FIX,-0.0023916419840522164
Gemini,AUR,RT,0.21436369804020086
Gemini,AUR,TN,0.3533862450787087
Gemini,AUR,QOC,-0.12474737672652259
Gemini,AUR,LM,-0.2528913750231017
Gemini,AUR,ME,
Gemini,AUR,EMP,0.07239933666407217
Gemini,TD,S,0.032071683950829336
Gemini,TD,AUR,0.0900826673650247
Gemini,TD,TD,1.0
Gemini,TD,FIX,0.6407770263862567
Gemini,TD,RT,0.2779279312555368
Gemini,TD,TN,0.7464774387531266
Gemini,TD,QOC,-0.030508359633645975
Gemini,TD,LM,0.35237660219371475
Gemini,TD,ME,
Gemini,TD,EMP,0.5727632130750582
Gemini,FIX,S,0.10148443781144606
Gemini,FIX,AUR,-0.0023916419840522164
Gemini,FIX,TD,0.6407770263862567
Gemini,FIX,FIX,1.0
Gemini,FIX,RT,0.41243479683670836
Gemini,FIX,TN,0.6224151210623841
Gemini,FIX,QOC,0.09540841348455004
Gemini,FIX,LM,0.4660693401743624
Gemini,FIX,ME,
Gemini,FIX,EMP,0.7418934645815753
Gemini,RT,S,-0.01692189831897607
Gemini,RT,AUR,0.21436369804020086
Gemini,RT,TD,0.2779279312555368
Gemini,RT,FIX,0.41243479683670836
Gemini,RT,RT,1.0
Gemini,RT,TN,0.37700381427141244
Gemini,RT,QOC,-0.015155031808174645
Gemini,RT,LM,-0.01142241696483795
Gemini,RT,ME,
Gemini,RT,EMP,0.35583330058391405
Gemini,TN,S,0.04161674708123767
Gemini,TN,AUR,0.3533862450787087
Gemini,TN,TD,0.7464774387531266
Gemini,TN,FIX,0.6224151210623841
Gemini,TN,RT,0.37700381427141244
Gemini,TN,TN,1.0
Gemini,TN,QOC,-0.04447042160361548
Gemini,TN,LM,0.34994586055486165
Gemini,TN,ME,
Gemini,TN,EMP,0.6805145138359024
Gemini,QOC,S,-0.09807521808635754
Gemini,QOC,AUR,-0.12474737672652259
Gemini,QOC,TD,-0.030508359633645975
Gemini,QOC,FIX,0.09540841348455004
Gemini,QOC,RT,-0.015155031808174645
Gemini,QOC,TN,-0.04447042160361548
Gemini,QOC,QOC,1.0
Gemini,QOC,LM,0.0649093886605251
Gemini,QOC,ME,
Gemini,QOC,EMP,0.18334091626735993
Gemini,LM,S,0.13468107739681418
Gemini,LM,AUR,-0.2528913750231017
Gemini,LM,TD,0.35237660219371475
Gemini,LM,FIX,0.4660693401743624
Gemini,LM,RT,-0.01142241696483795
Gemini,LM,TN,0.34994586055486165
Gemini,LM,QOC,0.0649093886605251
Gemini,LM,LM,1.0
Gemini,LM,ME,
Gemini,LM,EMP,0.5654343163816171
Gemini,ME,S,
Gemini,ME,AUR,
Gemini,ME,TD,
Gemini,ME,FIX,
Gemini,ME,RT,
Gemini,ME,TN,
Gemini,ME,QOC,
Gemini,ME,LM,
Gemini,ME,ME,
Gemini,ME,EMP,
Gemini,EMP,S,0.07881167087781255
Gemini,EMP,AUR,0.07239933666407217
Gemini,EMP,TD,0.5727632130750582
Gemini,EMP,FIX,0.7418934645815753
Gemini,EMP,RT,0.35583330058391405
Gemini,EMP,TN,0.6805145138359024
Gemini,EMP,QOC,0.18334091626735993
Gemini,EMP,LM,0.5654343163816171
Gemini,EMP,ME,
Gemini,EMP,EMP,1.0
