dataset,topic,conv_id,turn,annotator,raw_U1_typicality,raw_U2_evocative,raw_U3_sensitivity,raw_U4_fix_seeking,raw_U5_underlying,norm_U1_typicality,norm_U2_evocative,norm_U3_sensitivity,norm_U4_fix_seeking,norm_U5_underlying,UIRI,band
HOPE,10,HOPE_topic10,10,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,11,HOPE_topic11,1,,1,2,1,0,2,0.5,1.0,1.0,0.0,1.0,0.7,High
HOPE,11,HOPE_topic11,2,,1,1,1,0,2,0.5,0.5,1.0,0.0,1.0,0.6,High
HOPE,11,HOPE_topic11,3,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,11,HOPE_topic11,4,,1,1,1,0,2,0.5,0.5,1.0,0.0,1.0,0.6,High
HOPE,11,HOPE_topic11,5,,1,1,1,0,2,0.5,0.5,1.0,0.0,1.0,0.6,High
HOPE,11,HOPE_topic11,6,,1,1,0,1,1,0.5,0.5,0.0,1.0,0.5,0.5,Medium
HOPE,11,HOPE_topic11,7,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,11,HOPE_topic11,8,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,11,HOPE_topic11,9,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,11,HOPE_topic11,10,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,12,HOPE_topic12,1,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,12,HOPE_topic12,2,,1,2,0,1,2,0.5,1.0,0.0,1.0,1.0,0.7,High
HOPE,12,HOPE_topic12,3,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,12,HOPE_topic12,4,,0,2,0,1,2,0.0,1.0,0.0,1.0,1.0,0.6,High
HOPE,12,HOPE_topic12,5,,0,2,0,1,2,0.0,1.0,0.0,1.0,1.0,0.6,High
HOPE,12,HOPE_topic12,6,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,12,HOPE_topic12,7,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,12,HOPE_topic12,8,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,12,HOPE_topic12,9,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,12,HOPE_topic12,10,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,13,HOPE_topic13,1,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,13,HOPE_topic13,2,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,13,HOPE_topic13,3,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,13,HOPE_topic13,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,13,HOPE_topic13,5,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,13,HOPE_topic13,6,,1,0,0,0,2,0.5,0.0,0.0,0.0,1.0,0.3,Medium
HOPE,13,HOPE_topic13,7,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,13,HOPE_topic13,8,,1,0,0,0,2,0.5,0.0,0.0,0.0,1.0,0.3,Medium
HOPE,13,HOPE_topic13,9,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,13,HOPE_topic13,10,,2,1,0,0,2,1.0,0.5,0.0,0.0,1.0,0.5,Medium
HOPE,14,HOPE_topic14,1,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,2,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,3,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,4,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,5,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,6,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,7,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,14,HOPE_topic14,8,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,14,HOPE_topic14,9,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,14,HOPE_topic14,10,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,15,HOPE_topic15,1,,1,1,1,0,2,0.5,0.5,1.0,0.0,1.0,0.6,High
HOPE,15,HOPE_topic15,2,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,15,HOPE_topic15,3,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,15,HOPE_topic15,4,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,15,HOPE_topic15,5,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,15,HOPE_topic15,6,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,15,HOPE_topic15,7,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,15,HOPE_topic15,8,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,15,HOPE_topic15,9,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,15,HOPE_topic15,10,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,1,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,2,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,3,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,4,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,5,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,6,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,7,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,8,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,9,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,16,HOPE_topic16,10,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,17,HOPE_topic17,1,,1,1,1,0,2,0.5,0.5,1.0,0.0,1.0,0.6,High
HOPE,17,HOPE_topic17,2,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,17,HOPE_topic17,3,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,17,HOPE_topic17,4,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,17,HOPE_topic17,5,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,17,HOPE_topic17,6,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,17,HOPE_topic17,7,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,17,HOPE_topic17,8,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,17,HOPE_topic17,9,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,17,HOPE_topic17,10,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,18,HOPE_topic18,1,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,18,HOPE_topic18,2,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,18,HOPE_topic18,3,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,18,HOPE_topic18,4,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,18,HOPE_topic18,5,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,18,HOPE_topic18,6,,0,1,1,0,2,0.0,0.5,1.0,0.0,1.0,0.5,Medium
HOPE,18,HOPE_topic18,7,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,18,HOPE_topic18,8,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,18,HOPE_topic18,9,,2,1,1,0,2,1.0,0.5,1.0,0.0,1.0,0.7,High
HOPE,18,HOPE_topic18,10,,2,2,1,0,2,1.0,1.0,1.0,0.0,1.0,0.8,High
HOPE,19,HOPE_topic19,1,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,19,HOPE_topic19,2,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,19,HOPE_topic19,3,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,19,HOPE_topic19,4,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,19,HOPE_topic19,5,,1,0,0,0,2,0.5,0.0,0.0,0.0,1.0,0.3,Medium
HOPE,19,HOPE_topic19,6,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,19,HOPE_topic19,7,,0,2,0,0,1,0.0,1.0,0.0,0.0,0.5,0.3,Medium
HOPE,19,HOPE_topic19,8,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,19,HOPE_topic19,9,,0,2,0,0,1,0.0,1.0,0.0,0.0,0.5,0.3,Medium
HOPE,19,HOPE_topic19,10,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,20,HOPE_topic20,1,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,20,HOPE_topic20,2,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,20,HOPE_topic20,3,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,20,HOPE_topic20,4,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,20,HOPE_topic20,5,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,20,HOPE_topic20,6,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,20,HOPE_topic20,7,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,20,HOPE_topic20,8,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,20,HOPE_topic20,9,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,20,HOPE_topic20,10,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,21,HOPE_topic21,1,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,21,HOPE_topic21,2,,1,2,0,0,1,0.5,1.0,0.0,0.0,0.5,0.4,Medium
HOPE,21,HOPE_topic21,3,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,21,HOPE_topic21,4,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,21,HOPE_topic21,5,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,21,HOPE_topic21,6,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,21,HOPE_topic21,7,,2,1,0,0,1,1.0,0.5,0.0,0.0,0.5,0.4,Medium
HOPE,21,HOPE_topic21,8,,2,0,0,0,1,1.0,0.0,0.0,0.0,0.5,0.3,Medium
HOPE,21,HOPE_topic21,9,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,21,HOPE_topic21,10,,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,0.2,Low
HOPE,22,HOPE_topic22,1,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,22,HOPE_topic22,2,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,22,HOPE_topic22,3,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,22,HOPE_topic22,4,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,22,HOPE_topic22,5,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,22,HOPE_topic22,6,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,22,HOPE_topic22,7,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,22,HOPE_topic22,8,,1,0,0,0,2,0.5,0.0,0.0,0.0,1.0,0.3,Medium
HOPE,22,HOPE_topic22,9,,1,2,0,0,0,0.5,1.0,0.0,0.0,0.0,0.3,Medium
HOPE,22,HOPE_topic22,10,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,23,HOPE_topic23,1,,0,2,0,1,2,0.0,1.0,0.0,1.0,1.0,0.6,High
HOPE,23,HOPE_topic23,2,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,23,HOPE_topic23,3,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,23,HOPE_topic23,4,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,23,HOPE_topic23,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,23,HOPE_topic23,6,,1,0,0,0,2,0.5,0.0,0.0,0.0,1.0,0.3,Medium
HOPE,23,HOPE_topic23,7,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,23,HOPE_topic23,8,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,23,HOPE_topic23,9,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,23,HOPE_topic23,10,,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1,Low
HOPE,24,HOPE_topic24,1,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,24,HOPE_topic24,2,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,24,HOPE_topic24,3,,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.2,Low
HOPE,24,HOPE_topic24,4,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,24,HOPE_topic24,5,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,24,HOPE_topic24,6,,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,0.2,Low
HOPE,24,HOPE_topic24,7,,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,0.2,Low
HOPE,24,HOPE_topic24,8,,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1,Low
HOPE,24,HOPE_topic24,9,,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,0.2,Low
HOPE,24,HOPE_topic24,10,,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1,Low
HOPE,25,HOPE_topic25,1,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,25,HOPE_topic25,2,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,25,HOPE_topic25,3,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,25,HOPE_topic25,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,25,HOPE_topic25,5,,2,1,0,0,2,1.0,0.5,0.0,0.0,1.0,0.5,Medium
